"","Core","Depth.min","Depth.max","Depth.mean","d13C.carb","d18O.carb","d13C.carb.sd","d18O.carb.sd","percent.carb","d13C.org","Fmc","Fmc.err","NOSAMS.an"
"95","2267-2",80,84,82,2.94,-4.76,0.11,0.04,0.49,NA,NA,NA,""
"96","2267-2",84,88,86,2.83,-4.62,0.04,0.04,0.45,NA,NA,NA,""
"97","2565-3",0,2,1,3.28,-4.02,0.04,0.05,0.53,NA,NA,NA,""
"98","2565-3",4,6,5,3.51,-4.57,0.04,0.04,0.56,NA,NA,NA,""
"99","2565-3",6,8,7,4.04,-4.42,0.02,0.04,0.62,NA,NA,NA,""
"100","2565-3",8,10,9,3.63,-4.45,0.08,0.05,0.56,NA,NA,NA,""
"101","2565-3",10,12,11,3.51,-4.69,0.13,0.12,0.57,NA,NA,NA,""
"102","2565-3",12,14,13,3.55,-4.53,0.06,0.05,0.53,NA,NA,NA,""
"103","2565-3",14,16,15,3.91,-4.42,0.07,0.03,0.58,NA,NA,NA,""
"104","DDE",0,1,0.5,0.15,-5.8,0.19,0.06,0.12,NA,NA,NA,""
"105","DDE",1,3,2,0.85,-4.31,0.13,0.03,0.29,NA,NA,NA,""
"106","DDJ",0,1,0.5,0.79,-5.89,0.07,0.1,0.09,NA,NA,NA,""
"107","DDJ",4,5,4.5,2.49,-4.04,0.09,0.04,0.38,NA,NA,NA,""
"108","DDM",0,1,0.5,1.19,-5.31,0.09,0.09,0.26,NA,NA,NA,""
"109","DDM",4,5,4.5,1.79,-5.64,0.07,0.06,0.31,NA,NA,NA,""
"110","DDT",0,1,0.5,1.26,-6.06,0.18,0.19,0.11,NA,NA,NA,""
"111","DDT",4,5,4.5,1.44,-4.77,0.07,0.04,0.25,NA,NA,NA,""
