"","Depth","Age.025","Age.med","Age.975"
"51",5.1,77.5575325887763,98.700419676699,128.488328124605
"52",5.2,79.3498250853048,101.792348740501,133.665950690636
"53",5.3,81.2501722265986,104.934484781484,139.417278448916
"54",5.4,83.2851710335642,107.990855650811,145.01832077656
"55",5.5,85.0806729149881,110.903049169236,150.895353228973
"56",5.6,86.685334323695,113.978418380312,155.950991519336
"57",5.7,88.3918773912395,116.984573932478,161.845743951962
"58",5.8,90.0814250098646,120.120703127829,167.534009855944
"59",5.9,91.9888053716117,123.230603488848,173.575525768934
"60",6,93.9103610271402,126.451782643804,180.109853301856
"61",6.1,95.8255142765636,129.755079895673,186.161745860351
"62",6.2,97.6933248594116,133.131140622389,192.194187143946
"63",6.3,99.2454212983334,136.544214705252,197.852116887625
"64",6.4,101.221401993723,140.005869371321,203.867518518118
"65",6.5,102.591872981697,143.340036628652,210.411096703401
"66",6.6,104.276061386602,146.570252241379,216.275979325327
"67",6.7,106.033397974197,149.796197348364,223.156780239901
"68",6.8,108.224288313392,153.074140217808,230.844350917019
"69",6.9,110.105798077361,156.531980431992,237.694026626454
"70",7,111.519426778413,159.715495523438,244.918636753169
"71",7.1,113.232688442366,162.81717637369,252.298896198097
"72",7.2,114.96621529994,166.242108731369,260.751356078479
"73",7.3,116.787039553983,169.618128031707,268.104140322661
"74",7.4,118.649560717248,173.004838473064,275.203269655815
"75",7.5,120.096853724469,176.537041651365,282.273573649756
"76",7.6,121.69023458485,179.925307920448,290.922938858482
"77",7.7,123.4102687222,183.35420121061,298.204421867555
"78",7.8,124.978233326851,186.78235442194,304.886344986837
"79",7.9,126.758362416749,190.250033599319,313.2965309839
"80",8,128.477499229944,193.901051167203,320.764675242256
"81",8.1,130.459027514471,197.414227293953,328.858015135807
"82",8.2,132.058948492784,200.86167652225,336.981060322838
"83",8.3,133.856973902311,204.11220359003,344.507891646306
"84",8.4,135.616846607626,207.600498812612,353.22396258246
"85",8.5,137.400254761567,210.834990551049,362.324389765942
"86",8.6,138.910393440351,214.281554745016,370.769052587785
"87",8.7,140.093481285518,217.721299866289,379.317490058534
"88",8.8,141.252389109822,221.059640519607,387.817345023549
"89",8.9,143.17203418422,224.664295872827,396.701358513302
"90",9,144.679031195671,228.294987871364,404.785486537104
"91",9.1,146.725021321054,231.964066903575,414.532098273506
"92",9.2,148.267348972825,235.901027899863,423.559875230129
"93",9.3,149.855120584142,239.34929259108,431.418655566636
"94",9.4,151.241908427354,243.010210202627,439.858862839259
"95",9.5,152.813606515992,246.81581874314,449.482454559561
"96",9.6,154.642226348253,250.489223856954,459.812027494089
"97",9.7,155.96901510054,254.103732222958,468.262900582592
"98",9.8,157.28846504185,257.763352859608,483.215303449561
"99",9.9,158.799731916853,261.489242831127,492.351567208
"100",10,160.287024106746,265.198221279351,500.511162312652
"101",10.1,162.617372163296,269.030881020349,509.889861768185
"102",10.2,164.585297669665,272.845671001454,519.974639518165
"103",10.3,165.838376720674,276.84140785326,530.105267672383
"104",10.4,166.740951914617,281.022581869366,539.333382675415
"105",10.5,168.281773252764,284.751834953177,550.561793999889
"106",10.6,169.955436280791,288.309190971167,563.092224849023
"107",10.7,171.455525366475,292.146365647941,576.793266490341
"108",10.8,172.98945765121,295.612614585738,587.983198408357
"109",10.9,174.566672283367,299.360067173258,600.252945070536
"110",11,176.343194361504,302.748635394639,614.224663661375
"111",11.1,177.727038816525,306.74227086106,624.587141519771
"112",11.2,179.151730821934,310.783320897993,636.032217918541
"113",11.3,180.830528069822,314.913236219309,648.676863620556
"114",11.4,182.744314309204,318.905593483421,659.03599650403
"115",11.5,184.069585300957,322.916900745262,672.046483812841
"116",11.6,185.234845221944,326.773687506026,686.937070158226
"117",11.7,186.534525845686,331.05487439894,696.117934130385
"118",11.8,187.815505455372,335.117752259333,706.441986657109
